Provinsi,Perkotaan_2021,Perkotaan_2022,Perkotaan_2023,Pedesaan_2021,Pedesaan_2022,Pedesaan_2023
ACEH,69.52,70.22,2023.0,57.03,58.77,2023.0
SUMATERA UTARA,70.6,72.21,70.14,58.1,61.93,59.02
SUMATERA BARAT,72.71,74.28,71.92,58.17,62.43,61.46
RIAU,76.78,77.37,73.36,66.42,70.86,62.13
JAMBI,78.17,76.95,77.1,62.01,66.05,69.25
SUMATERA SELATAN,75.66,74.52,76.15,57.83,61.25,65.77
BENGKULU,75.79,76.33,74.84,58.65,62.05,60.97
LAMPUNG,72.05,72.91,76.43,59.98,62.78,61.48
KEP. BANGKA BELITUNG,73.24,77.55,71.99,61.69,67.32,61.51
KEP. RIAU,81.7,81.29,75.34,66.01,68.74,66.07
JAWA BARAT,70.66,72.6,82.47,57.8,62.1,59.95
JAWA TENGAH,67.13,68.84,71.27,58.08,61.11,59.6
DI YOGYAKARTA,73.87,73.78,68.45,58.23,60.41,60.58
JAWA TIMUR,68.75,70.47,75.34,56.04,58.7,59.51
BANTEN,74.25,74.79,69.93,52.93,56.67,57.81
BALI,76.03,76.28,74.24,61.21,64.19,54.6
NUSA TENGGARA BARAT,64.72,65.59,77.12,53.62,56.55,63.1
NUSA TENGGARA TIMUR,73.63,74.08,65.95,44.69,45.35,56.73
KALIMANTAN BARAT,74.18,75.96,70.53,55.73,58.15,44.51
KALIMANTAN TENGAH,80.38,80.95,75.04,65.41,66.92,58.69
KALIMANTAN SELATAN,77.75,76.78,80.32,61.75,64.49,67.67
KALIMANTAN TIMUR,84.2,84.83,76.09,74.29,76.94,61.97
KALIMANTAN UTARA,80.78,81.88,84.07,68.3,72.81,76.55
SULAWESI UTARA,77.05,77.65,81.45,62.36,63.47,70.61
SULAWESI TENGAH,73.44,73.34,77.1,55.53,57.28,61.8
SULAWESI SELATAN,76.42,77.1,72.69,63.2,66.05,55.37
SULAWESI TENGGARA,76.15,77.53,76.54,63.75,65.7,63.98
SULAWESI BARAT,68.6,71.86,73.92,57.18,58.33,62.39
PAPUA,78.8,72.92,75.86,22.92,20.47,21.695
INDONESIA,72.41,73.58,72.995,57.24,60.18,58.71
